FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,FCOUNTY,STYPE,SADDR,SCITY,SSTATE,SZIP,LICENSEE,LICNO,PENDING,FID,CLOSED,TERMINATED,HCACAT,HOSCAT,NPCAT,NSGSVCS,CLINICAL,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,EXPIRES,JCAHO,RJCAHO,ACHC,CARF,NARRAL,ACCHC,NHCC,PPH,CHAP,OTHERA
"Harris Home Health","P. O. Box 51266","Lafayette","LA","70505-1266","(828)586-7410","Jackson","HC","26 Westcare Drive; Suite 303","Sylva","NC","28779","North Carolina In-Home Partner-I, LLC","HC0157",F,"953838",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347029","341549",0,0,12/31/2018,T,F,F,F,F,T,F,F,F,T
"Home Care Partners","525 Mineral Springs Drive","Sylva","NC","28779-","(828)631-1167","Jackson","HC","525 Mineral Springs Drive","Sylva","NC","28779-","Pathways For The Future, Inc.","HC2010",F,"010344",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,T
"1 On One Home Care","5209 Pinehall wynd","raleigh","NC","27604-","(919)524-3941","Johnston","HC","117 Heather Drive","Garner","NC","27529-","Mental Health Services Associates, LLc","HC4705",F,"140371",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"3HC","2402 Wayne Memorial Drive","Goldsboro","NC","27534-","(919)934-0666","Johnston","HC","821 N. Brightleaf Blvd.","Smithfield","NC","27577-","Home Health and Hospice Care, Inc.","HC0507",F,"933846",F,F,T,T,T,T,F,T,T,T,T,T,T,F,F,F,T,"347104","341551",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"A Primary Choice, Inc.","P.O. Box 159","Saint Pauls","NC","28384-","(919)209-0597","Johnston","HC","839 S. Brightleaf Blvd Suite #1","Smithfield","NC","27577-","A Primary Choice, Inc.","HC4664",F,"140167",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"APB Home Care","P. O. Box 4866","WILMINGTON","NC","28406-","(919)963-2428","Johnston","HC","2504 Raeford Road, Suite 106","Fayetteville","NC","28305-5135","APB Home Health, LLC","HC3975",F,"091030",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Action Health Staffing","3606 Eagle Point Lane","Wilson","NC","27896-","(919)938-1150","Johnston","HC","214 Peedin Road","Smithfield","NC","27577-","Action Health Staffing, Inc.","HC1792",F,"990679",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Affinity Health Services","1342B North Brightleaf Blvd.","Smithfield","NC","27577-","(919)604-7281","Johnston","HC","1342B North Brightleaf Blvd.","Smithfield","NC","27577-","Merchant Health Systems, Inc.","HC1836",F,"000137",F,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Atlantic Home Staffing","P.O. Box 1150","Angier","NC","27501-","(919)639-8223","Johnston","HC","141 Technology Drive Suite C","Garner","NC","27529-","Atlantic Health Group, Inc.","HC4150",F,"100811",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Carolina Home Medical, Inc.","1301 Commerce Drive","New Bern","NC","28562-","(919)938-3090","Johnston","HC","601-C North 8th Street","Smithfield","NC","27577-","Carolina Home Medical, Inc.","HC2878",F,"041456",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Christian Home Healthcare","200 South Massey Street","Selma","NC","27576-","(919)965-5120","Johnston","HC","200 South Massey Street","Selma","NC","27576-","Christian Home Healthcare, Inc.","HC3908",F,"090750",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Community Home Care and Hospice","P. O. Box 4060","Mooresville","NC","28117-","(919)989-3276","Johnston","HC","208 Butternut Lane","Clayton","NC","27520-5857","Community Home Care of  Vance County, LLC","HC3440",F,"060899",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Continuum Home Care of Smithfield","515 Barbour Road","Smithfield","NC","27577-","(919)934-6017","Johnston","HC","515 Barbour Road","Smithfield","NC","27577-7698","Continuum II Home Health & Hospice, Inc.","HC1219",F,"945284",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Heart 2 Hearts Home Care","P.O. Box 734","Clayton","NC","27528-","(919)359-0966","Johnston","HC","2001 Sunny Way","Clayton","NC","27520-","Harvey Louis Clark Judith Hinton","HC4386",F,"110423",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Johnston Health Home Care and Hospice","P O Box 1376","Smithfield","NC","27577","(919)938-7560","Johnston","HC","514 North  Brightleaf Boulevard","Smithfield","NC","27577-","Johnston Health Services Corporation","HC0383",F,"943950",F,F,T,T,F,T,F,T,T,T,T,T,T,F,F,F,T,"347105","341561",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"Southeastern Adult Day Center","PO Box 46775","Raleigh","NC","27620-6775","(919)359-8168","Johnston","HC","896 Gulley Drive","Clayton","NC","27520-","Southeastern Wake Adult Day Center","HC2402",F,"030780",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Southeastern Wake Adult Day Center","PO BOX 46775","Raleigh","NC","27620-","(919)279-8076","Johnston","HC","305 Myrtle Road","Selma","NC","27576-","Southeastern Wake Adult Day Center","HC2164",F,"020441",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"3HC","2402 Wayne Memorial Drive","Goldsboro","NC","27534-","(252)527-3869","Jones","HC","214 Main Street","Pollocksville","NC","28573-","Home Health and Hospice Care, Inc.","HC0506",F,"933841",F,F,T,T,F,T,F,T,T,T,T,T,T,F,F,F,T,"347026","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Kindred at Home","12900 Foster, Suite 400","Overland Park","KS","66213-2696","(252)224-1012","Jones","HC","124 Main Street","Pollocksville","NC","28573-","Tar Heel Health Care Services, LLC","HC0431",F,"954154",F,F,T,F,F,T,F,T,T,T,T,T,T,F,T,T,T,"347333","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Wilson's Home Care Agency, Inc","PO Box 1022","Vanceboro","NC","28586-","(910)743-0320","Jones","HC","615 Main Street","Maysville","NC","28555-","Brenda Ann  Wilson","HC2067",F,"010880",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"A Primary Choice,  Inc.","P.O. Box 159","St. Pauls","NC","28384-","(919)774-7044","Lee","HC","1514 South Horner Blvd","Sanford","NC","27331-","A Pimary Choice, Inc.","HC4524",F,"120081",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Abundant Provision Home Care","622 Washington Avenue","Sanford","NC","27330-","(919)718-0478","Lee","HC","622 Washington Avenue","Sanford","NC","27330-","Abundant Provision Home Care","HC4846",F,"160359",F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"American HomePatient","5200 Maryland Way, Suite 400","Brentwood","TN","37027-","(919)774-2385","Lee","HC","2912 S. Horner Blvd., Unit #80","Sanford","NC","27332-9756","American HomePatient of Sanford, LLC","HC1162",F,"944753",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"First Choice Home Care, Inc.","506 Carthage Street","Sanford","NC","27330-","(919)775-3306","Lee","HC","506 Carthage Street","Sanford","NC","27330-","First Choice Home Care, Inc.","HC1717",F,"981039",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Liberty Home Care","1005 Carthage Street","Sanford","NC","27331-","(919)774-9522","Lee","HC","1005 Carthage Street","Sanford","NC","27330","Liberty Home Care II, LLC","HC0426",F,"954124",F,F,T,F,F,F,F,T,T,T,T,T,T,F,F,F,T,"34Q7309001","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Liberty Medical Specialties, Inc.","P.O. Box 339","Whiteville","NC","28472-","(919)775-1881","Lee","HC","2635 South Horner Blvd.","Sanford","NC","27330-","Liberty Medical Specialties, Inc.","HC2947",F,"050104",F,F,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Mary H. Finch Total Care II","3121 Seth Drive","Sanford","NC","27330-","(252)294-5709","Lee","HC","3121 Seth Drive","Sanford","NC","27330-","Mary H. Finch Total Care II","HC2928",F,"050058",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Mary H. Finch Total Care LLC","P.O. Box 1306","Broadway","NC","27505-","(919)258-5600","Lee","HC","124 B  South Main Street","Broadway","NC","27505-","Mary H. Finch Total Care, LLC","HC4308",F,"110101",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Parkview In-Home Aide Services, Inc.","P. O. Box 4057","Sanford","NC","27331-4057","(919)775-1475","Lee","HC","620 Westover Drive","Sanford","NC","27330-","Parkview In-Home Aide Services, Inc.","HC1034",F,"954340",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Quality Home HealthCare, Inc.","106 Park Avenue","Sanford","NC","27330-4027","(919)775-2001","Lee","HC","106 Park Avenue","Sanford","NC","27330-4027","Quality Home HealthCare, Inc.","HC1195",F,"944429",F,F,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Shipman Family Home Care, Inc.","1614 East Market Street","Greensboro","NC","27401-","(919)776-2144","Lee","HC","318-B Court Square","Sanford","NC","27330-","Shipman Family  Home Care, Inc.","HC2258",F,"021265",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"There's No Place Like Home Health Care, LLC","PO Box 1915","Sanford","NC","27331-","(919)842-3101","Lee","HC","821 B S Horner Boulevard","Sanford","NC","27330-","There's No Place Like Home Health Care, LLC","HC2788",F,"040763",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Total Life Care, Inc.","PO Box 3106","Sanford","NC","27331-","(919)776-0352","Lee","HC","824 S. Horner Blvd.","Sanford","NC","27330-","Total Life Care, Inc.","HC2229",F,"021095",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"3HC","2402 Wayne Memorial Drive","Goldsboro","NC","27524-","(252)527-9561","Lenoir","HC","2405 N. Heritage Street, Suite I","Kinston","NC","28501-","Home Health and Hospice Care, Inc.","HC0195",F,"933827",F,F,T,T,F,T,F,T,T,T,T,T,T,F,F,F,T,"347104","341551",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"A Primary Choice Inc","P.O. Box 159","St. Paul","NC","28384-","(252)522-1301","Lenoir","HC","902 West Vernon Avenue","Kinston","NC","28501-","A Primary Choice, Inc","HC3360",F,"060322",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Carolina Home Medical, Inc.","1301 Commerce Drive","New Bern","NC","28562-","(252)233-2323","Lenoir","HC","101 Airport Road, Suite 3","Kinston","NC","28501-","Carolina Home Medical, Inc.","HC2880",F,"041467",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Continum Home Care of Kinston","P. O. Box 3527","Kinston","NC","28502-","(252)523-0082","Lenoir","HC","312 Warren Ave.","Kinston","NC","28501-","Continuum II Home Care & Hospice Inc.","HC1211",F,"955209",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Down East Medical Supply","2903 North Herritage Street","Kinston","NC","28501-","(252)522-1761","Lenoir","HC","2903 North Herritage Street","Kinston","NC","28501-","Lenoir Memorial Hospital","HC2305",F,"030200",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Heaven's Touch Home Care Services","P.O. Box 2023","Kinston","NC","28502-","(252)522-5984","Lenoir","HC","215 North Queen Street","Kinston","NC","28501-","Shirley A. Skinner","HC2457",F,"031114",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Choice Healthcare","P.O. Box 1185","Fuquary-Varina","NC","27526-","(919)606-1739","Lenoir","HC","704 N. Herritage Street","Kinston","NC","28501-","At Home Senior Services, Inc.","HC3654",F,"061532",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Life Care, Inc.","613 East Memorial Drive","Ahoskie","NC","27910-","(252)523-5913","Lenoir","HC","810 West Vernon Avenue","Kinston","NC","28501-","Home Life Care, Inc.","HC2550",F,"040530",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"HomeChoice Healthcare","P.O. BOX 1185","Fuquay Varina","NC","27526-","(919)606-1739","Lenoir","HC","704 N. Heritage Street","Kinston","NC","28502-","At Home Senior Services, Inc.","HC4685",F,"140381",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"In Us You Trust Home Care, Inc.","600 Plaza Blvd., Suite E","Kinston","NC","28501-","(252)523-9283","Lenoir","HC","600 Plaza Blvd., Suite E","Kinston","NC","28501-","In Us You Trust Home Care, Inc.","HC4075",F,"100419",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Interim HealthCare-Morris Group, Inc.","2526 Ward Blvd.","Wilson","NC","27893-","(252)526-9792","Lenoir","HC","704-M Plaza Blvd.","Kinston","NC","28501-","Interim HealthCare-Morris Group, Inc.","HC1703",F,"980882",F,F,T,F,T,T,F,T,T,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,T,F
"Kindred at Home","12900 Foster Street, Suite 400","Overland Park","KS","66213-2696","(252)522-1458","Lenoir","HC","2111-C North Queen Street","Kinston","NC","28501-1647","Tar Heel Health Care Services, LLC","HC0428",F,"924155",F,F,T,F,F,T,F,T,T,T,T,T,T,F,T,T,T,"347124","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Kindred at Home","12900 Foster, Suite 400","Overland Park","KS","66213-2696","(252)568-6022","Lenoir","HC","206 South Turner Street","Pink  Hill","NC","28572-","Tar Heel Health Care Services, LLC","HC1565",F,"971067",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347226","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"ResCare Home Care","834 Tyvola Road; Suite 116","Charlotte","NC","28217-","(252)527-6400","Lenoir","HC","1001 Hardee Road, Suite A","Kinston","NC","28504-","CNC Access Inc.","HC4573",F,"120519",F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Shipman Family Home Care, Inc.","1614 East Market Street","Greensboro","NC","27401-","(252)523-0628","Lenoir","HC","813 Hardee Road","Kinston","NC","28504-","Shipman Family Home Crae, Inc.","HC4144",F,"100766",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Supreme Choice Healthcare, LLC","P.O. Box 2911","Kinston","NC","28502-","(252)523-1100","Lenoir","HC","1100 Hardee Road, Suite 115","Kinston","NC","28504-","Supreme Investments, LLC","HC4168",F,"100929",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,T,F,F,F,F,F,F
"American Health Services","3600 Vineland  Road, Suite 114","Orlando","FL","32804-","(704)732-1185","Lincoln","HC","1446 East Gaston Street, Ste. 202","Lincolnton","NC","28092-","Home Medical Systems, Inc.","HC1469",F,"961025",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Basic Home Infusion, Inc.","1401 Valley Road, 4th Floor","Wayne","NJ","07470-","(888)822-7428","Lincoln","HC","5960 Fairview Road, Office 444","Charlotte","NC","28210-","Basic Home Infusion, Inc.","HC4640",F,"130533",F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Healthy @ Home -Lincoln","P.O. Box 32861","Charlotte","NC","28232-2861","(704)512-5215","Lincoln","HC","853 S. Laurel Street","Lincolnton","NC","28092","Carolinas Medical Center at Home, LLC","HC0135",F,"953900",F,F,T,F,F,T,T,T,T,T,T,T,T,F,T,T,T,"347191","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,T
"Kindred at Home","Attn: Licensing & Certification Dep","Overland Park","KS","62213-2696","(704)736-4570","Lincoln","HC","308 S. Academy Street","Lincolnton","NC","28092-2717","Capital Care Resources, LLC","HC0391",F,"953969",F,F,T,F,F,T,F,F,T,T,T,T,T,F,F,F,T,"347054","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Personal Home Care of North Carolina, LLC","1515 Mockingbird Lane, Suite 912","Charlotte","NC","28209-","(704)732-7021","Lincoln","HC","1446 East Gaston Street;  Suite 103","Lincolnton","NC","28092-","Personal Home Care of North Carolina, LLC","HC2786",F,"040749",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Adult and Pediatric Specialists","19387 US 19 North","Clearwater","FL","33764-","(828)349-3151","Macon","HC","230 Sloan Road","Franklin","NC","28734-","Lincare, Inc.","HC1463",F,"960913",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Alternative Healthcare of WNC","P.O. Box 2234","Franklin","NC","28744-","(828)349-9500","Macon","HC","232 Cunningham Road; Suite 2","Franklin","NC","28734-","Tiffany N. Elliott","HC4347",F,"110275",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"At Your Services","P.O. Box 268","Highlands","NC","28741-","(828)200-9000","Macon","HC","348 South Fifth Street","Highlands","NC","28741-","At Your Services Geriatric Care Management, Inc.","HC4274",F,"110001",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"CarePartners Home Care & Hospice","68 Sweeten Creek Road","Asheville","NC","28803-","(828)369-4206","Macon","HC","170 Church Street","Franklin","NC","28734","Community CarePartners, Inc.","HC0324",F,"923601",F,F,T,T,F,T,F,F,T,T,T,T,T,F,F,F,T,"347055","341571",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Comfort Keepers #473","P.O. Box 381","Hayesville","NC","28904-","(877)477-2233","Macon","HC","33 Main Street, Suite 3","Franklin","NC","28734-","Visible Wisdom, LLC","HC2533",F,"040350",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Companion Health Care, Inc.","243 Sloan Road","Franklin","NC","28734-","(828)524-6444","Macon","HC","243 Sloan Road","Franklin","NC","28734-","Companion Health Care, Inc.","HC1155",F,"944577",F,F,T,F,T,T,F,F,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Kelley's Home Health Services","3600 Vineland Rd  Suite 114","Orlando","FL","32811-","(828)369-2191","Macon","HC","547 Depot Street","Franklin","NC","28734-","Select Home Health Care, Inc.","HC0807",F,"923953",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Mountain Home Health","P.O. Box 1306","Hayesville","NC","28904-","(828)524-0178","Macon","HC","14 West  Palmer Street","Franklin","NC","28744-","Mountain Home Health Services, LLC","HC4821",F,"160039",F,F,T,F,F,T,F,T,F,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Madison Home Care & Hospice","P O Box 69","Marshall","NC","28753-","(828)649-2705","Madison","HC","590 Medical Park Drive","Marshall","NC","28753-","Hot Springs Health Program, Inc.","HC0419",F,"953979",F,F,T,T,F,T,F,T,T,T,T,T,T,F,F,F,T,"347039","341540",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Adult and Pediatric Specialists","P.O. Box 9004","Clearwater","FL","33758-9004","(252)809-4240","Martin","HC","233 Green Street","Williamston","NC","27892-","Lincare Inc.","HC3699",F,"070284",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Elite Care, Inc.","3836 Abby Lynn Drive","Greenville","NC","27858-","(252)792-7812","Martin","HC","119 Peel Street","Williamston","NC","27892-","Elite Care, Inc.","HC4271",F,"101247",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"Faith Works Home Health Care","PO Box 1133","Williamston","NC","27892-","(252)792-7855","Martin","HC","223 Washington Street; PO Box 1133","Williamston","NC","27892-","Kennis Wilkins & Brenda Wilkins","HC1831",F,"000024",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Life Care, Inc.","613 East Memorial Drive","Ahoskie","NC","27910-","(252)789-4800","Martin","HC","514 East Blvd.","Williamston","NC","27892-","Home Life Care, Inc.","HC1965",F,"010129",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Martin County Adult & Aging Services","P. O. Box 1023","Williamston","NC","27892-","(252)792-1027","Martin","HC","201 Lee Street","Williamston","NC","27892-","Martin County Adult & Aging Services","HC0557",F,"944437",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Peggy's Home Health Care, Inc.","P O Box 26","Robersonville","NC","27871-","(252)795-5207","Martin","HC","413 Modica Street","Robersonville","NC","27871-","Debra Hines Armstrong","HC2929",F,"050062",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Quality Home Staffing, Inc.","P.O. Box 490","Windsor","NC","27983-","(252)809-4765","Martin","HC","129 W. Main Street","Williamston","NC","27892-","Quality Home Staffing, Inc.","HC1641",F,"980509",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Roanoke Home Care & Hospice","198 NC Hwy 45N","Plymouth","NC","27962-","(800)842-8275","Martin","HC","106 S. Watts Street","Williamston","NC","27962-","Martin-Tyrrell-Washington Dist. Health Dept.","HC0525",F,"954102",F,F,T,F,F,T,T,T,T,F,T,T,T,F,F,F,T,"347037","",0,0,12/31/2018,F,F,T,F,F,T,F,F,F,F
"Blue Ridge Home Care","1155 North Main Street Suite 11","Marion","NC","28752-","(828)659-1111","McDowell","HC","1155 North Main Street Suite 11","Marion","NC","28752-","Blue Ridge Home Care","HC1326",F,"956324",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,T,F,F,F,F,F,T,F
"Carolina Regional Homecare","45 Earl Lee Drive","Nebo","NC","28761-","(828)659-5636","McDowell","HC","45 Earl Lee Drive","Nebo","NC","28761-","Kathy Lea Randolph McKinney","HC2248",F,"021247",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Community Companion Home Care, LLC","49-A State Street","Marion","NC","28752-","(828)659-6453","McDowell","HC","49-A State Street","Marion","NC","28752-","Community Companion Home Care, LLC","HC2077",F,"010937",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"Encompass Home Health of North Carolina","6688 N. Central Expressway","Dallas","TX","75206-3950","(828)659-6901","McDowell","HC","70 N. Main Street; Suite 3","Marion","NC","28752-3945","CareSouth HHA Holdings of Western Carolina, LLC","HC0435",F,"923981",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347044","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Lily Care  Inc.","50 State Street","Marion","NC","28752-","(828)659-8879","McDowell","HC","50 State Street","Marion","NC","28752-","Tice James Randolph/Lily Care","HC2338",F,"030340",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"New Horizon Home Care","P. O. Box 1102","Marion","NC","28752-","(828)652-4672","McDowell","HC","146 Logan Street","Marion","NC","28752-","New Horizon Home Care of NC, Inc.","HC2467",F,"031231",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Oxygen Plus,  Inc.","110 Oak Crest Drive","Marion","NC","28752-","(828)659-8222","McDowell","HC","110 Oak Crest Drive","Marion","NC","28752-","Respiratory At Home, Plus","HC2068",F,"010882",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"A & S Home Health Care","7925 North Tryon Street","Charlotte","NC","28262-","(704)509-1197","Mecklenburg","HC","7925 North Tryon Street; Suite 109","Charlotte","NC","28262-","Lakeshia Danielle Barnes & Qunesia Jenise Moore","HC3407",F,"060622",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
